Title,Language,Genres,Rating,Premiered,Status,Rating_Percent,Release_Year,Show_Age,Popularity,Main_Genre
Brooklyn Nine-Nine,English,"Comedy, Action, Crime",8.1,2013-09-17,Ended,81.0,2013,13,High,Comedy
The Lottery,English,"Drama, Science-Fiction, Thriller",6.5,2014-07-20,Ended,65.0,2014,12,Medium,Drama
The Knick,English,"Drama, Medical",8.3,2014-08-08,Ended,83.0,2014,12,High,Drama
How to Get Away with Murder,English,"Drama, Thriller, Legal",7.5,2014-09-25,Ended,75.0,2014,12,Medium,Drama
Nashville,English,"Drama, Music, Romance",7.4,2012-10-10,Ended,74.0,2012,14,Medium,Drama
Legends,English,"Drama, Crime, Thriller",7.5,2014-08-13,Ended,75.0,2014,12,Medium,Drama
Red Band Society,English,"Drama, Comedy",7.7,2014-09-17,Ended,77.0,2014,12,Medium,Drama
Chicago P.D.,English,"Drama, Crime",8.0,2014-01-08,Running,80.0,2014,12,High,Drama
black-ish,English,"Comedy, Family",6.1,2014-09-24,Ended,61.0,2014,12,Medium,Comedy
New Girl,English,"Comedy, Romance",7.2,2011-09-20,Ended,72.0,2011,15,Medium,Comedy
Chicago Fire,English,"Drama, Action",8.0,2012-10-10,Running,80.0,2012,14,High,Drama
NCIS,English,"Drama, Action, Crime",7.9,2003-09-23,Running,79.0,2003,23,Medium,Drama
Orphan Black,English,"Drama, Science-Fiction, Thriller",8.5,2013-03-30,Ended,85.0,2013,13,High,Drama
The Originals,English,"Drama, Romance, Supernatural",8.2,2013-10-03,Ended,82.0,2013,13,High,Drama
The Vampire Diaries,English,"Drama, Romance, Supernatural",7.9,2009-09-10,Ended,79.0,2009,17,Medium,Drama
Utopia,English,"Drama, Science-Fiction, Thriller",8.4,2013-01-15,Ended,84.0,2013,13,High,Drama
Bones,English,"Drama, Crime, Medical",8.1,2005-09-13,Ended,81.0,2005,21,High,Drama
The Big Bang Theory,English,Comedy,8.0,2007-09-24,Ended,80.0,2007,19,High,Comedy
Grey's Anatomy,English,"Drama, Romance, Medical",7.6,2005-03-27,Running,76.0,2005,21,Medium,Drama
Castle,English,"Drama, Crime",8.2,2009-03-09,Ended,82.0,2009,17,High,Drama
The Blacklist,English,"Drama, Crime, Thriller",8.1,2013-09-23,Ended,81.0,2013,13,High,Drama
The Voice,English,Music,5.8,2011-04-26,Running,58.0,2011,15,Low,Music
Dancing with the Stars,English,Family,6.4,2005-06-01,To Be Determined,64.0,2005,21,Medium,Family
NCIS: Los Angeles,English,"Drama, Action, Crime",7.9,2009-09-22,Ended,79.0,2009,17,Medium,Drama
The Walking Dead,English,"Drama, Action, Horror",7.9,2010-10-31,Ended,79.0,2010,16,Medium,Drama
Hell on Wheels,English,"Drama, Action, Western",8.2,2011-11-06,Ended,82.0,2011,15,High,Drama
The Mindy Project,English,"Comedy, Romance, Medical",7.0,2012-09-25,Ended,70.0,2012,14,Medium,Comedy
Sons of Anarchy,English,"Drama, Action, Crime",8.3,2008-09-03,Ended,83.0,2008,18,High,Drama
The Middle,English,"Comedy, Family",8.0,2009-09-30,Ended,80.0,2009,17,High,Comedy
The Mysteries of Laura,English,"Comedy, Crime, Mystery",7.3,2014-09-17,Ended,73.0,2014,12,Medium,Comedy
The Goldbergs,English,"Comedy, Family",7.5,2013-09-24,Ended,75.0,2013,13,Medium,Comedy
Modern Family,English,"Comedy, Family",7.7,2009-09-23,Ended,77.0,2009,17,Medium,Comedy
Criminal Minds,English,"Drama, Crime, Thriller",8.1,2005-09-22,Running,81.0,2005,21,High,Drama
Game of Thrones,English,"Drama, Adventure, Fantasy",8.9,2011-04-17,Ended,89.0,2011,15,High,Drama
